LINK PVID,CALCULATED MEAN SLOPE,PROVIDED MEAN SLOPE
62007637,0.013707720776974975,0.0
567329767,-1.871909359566587E-9,0.0
62007648,-0.027415392515645735,0.0
78670326,0.010280789697199524,0.0
51881767,-0.002741554001950023,0.10433333333333333
51881768,5.343263078522176E-9,-0.0165
51881825,0.0,-0.11699999999999999
51881938,0.0,0.12333333333333334
811768915,0.0,0.17533333333333334
811768917,-0.0027415558969570175,0.0
778526449,0.0,0.0
51881935,0.0,0.0
51883233,0.0,1.4916666666666665
67948960,-0.027414550909262002,0.83725
67948524,0.0,0.4243333333333334
51883237,0.0,0.978
51883238,0.0,0.10874999999999999
51883362,-0.027414990523061733,1.15375
67948946,0.0,1.17875
67948945,0.0,0.09574999999999999
811593144,0.027415541350568198,0.0
67948530,0.0,-0.6805
51883890,2.444146231725397E-8,-0.35825
51883887,0.0,0.0
51867694,0.0,0.0
554728228,0.0068535499959542275,0.9421428571428571
554728229,0.0,0.2355
51867645,0.0,-0.10200000000000001
762732456,0.0,-0.018500000000000003
51866678,-0.027415431435685898,-0.021
51866677,0.0,-0.002
799517966,0.013707736822147832,-0.05566666666666666
799517967,0.0,-1.4456028966473393E-18
51865408,0.027414392124474548,-0.023999999999999997
762732451,0.0,-0.012
762732452,9.44613540397136E-8,-0.0055
51882111,0.0,-0.0715
51882112,0.0,-0.07166666666666666
762732447,0.0,0.017666666666666667
762732448,0.0,0.019
762732458,0.0,0.064
719953785,-0.027414972991648457,-0.004666666666666669
716671988,1.5811350860886475E-7,-0.013666666666666667
762772848,0.0,-5.0E-4
762772849,-0.009138200708218795,0.0115
51881430,0.027414557861685136,0.11166666666666668
51888926,-0.009138481960893124,-0.023500000000000004
554739608,3.4610473990884995E-8,-0.09433333333333334
51867079,-0.027415087474564434,-0.06899999999999999
554739611,0.0,-0.145
554728248,0.0,0.057666666666666665
554728249,0.0,0.372
67942291,0.013707624407619407,0.491
67942292,0.0,0.26366666666666666
773673189,0.0,-0.6475
773673190,0.0,-0.7969999999999999
67948819,0.0,-0.19519999999999998
51867088,0.027414648900766815,-0.094
51867089,0.0,-0.11475
51867577,0.0,0.0
781750240,-0.004984589622004733,0.0
51867664,0.0,0.04
51867774,-0.009138525599266858,0.08566666666666667
572252438,-1.1725227114581238E-7,0.107
572252439,-0.02741522839838616,0.049666666666666665
51867666,-0.02741428667073496,0.04700000000000001
554728246,-0.01370738579804278,0.009749999999999995
586525536,2.037191682341003E-7,0.0
51867668,0.0,-0.073
67948822,-0.009138522103326337,0.0
781750241,0.0,0.043
51867087,-0.02741518039544023,-0.3265
51867096,-0.004569293234588197,-0.5135000000000001
773673192,0.0,-0.386
51867114,0.0,0.181
67942290,0.0,0.3665
67942289,0.0,0.15100000000000002
51867040,-0.0027415565348167708,0.0
51868077,0.0,0.0
737855398,0.027414293379707837,0.0
711674448,0.0,0.0
711674449,0.0,0.0
586532947,0.0,0.0
711554065,-0.027414969093011943,0.0
711554064,-0.027415319618836618,0.0
586532907,-0.0274139344564113,0.0
586532906,-0.0274150631512847,0.0
802190376,0.0,0.0
810595985,0.0,0.0
711554056,-0.027413546816296323,0.0
711554055,0.0,0.0
711651042,0.0,0.0
711554060,0.0,0.0
711546382,0.0,0.0
711546381,0.0,0.0
781638039,0.0,0.0
766663327,0.0,0.0
779127178,0.0,0.0
572248796,0.0,0.0
51882109,0.0,-0.012
586525586,0.0,-0.22724999999999998
586525585,0.0,0.0
51867758,0.027414211803542834,0.0
51867717,0.0,-0.064
586525704,0.0,-0.143
51867684,0.0,0.0205
724991084,0.0,-0.131
51885324,0.006854009069650145,0.0
51885293,0.027415307476465055,0.0
51885471,0.0,0.0
67948474,0.0,0.0
51885473,2.2672447529883198E-8,0.0
51885478,0.0,0.0
51885498,0.0,0.0
67948481,0.0,0.0
67948482,0.007833012877387757,0.0
51933267,0.0,0.0
51885534,0.013707158989873316,-0.084
51883586,-0.01827634626699694,-0.9059999999999999
51883509,-3.7339838176303486E-8,-0.8463333333333334
51883510,0.0,-1.4264999999999999
723434427,0.0,-1.226
723434426,0.0,-0.28775
711674430,0.0,1.0493333333333335
586532797,-0.027414726264711593,1.083285714285714
554749725,0.0,0.12
554749724,0.0,0.529
51883141,0.0,0.599
762783421,0.0,0.118
762783420,0.027413919701831373,-0.17175
67948599,0.02741392741036972,0.153
67948598,0.0,0.963875
51869460,0.0,-0.77125
51869456,0.0,-0.6808000000000001
572245497,-6.155882092094556E-8,0.0
83733403,0.0,-0.014999999999999998
726159762,0.0,0.0415
726159763,0.0,0.17700000000000002
51888873,0.006853778435534285,0.0
726159764,0.0,0.0
781554862,-0.013707209181979702,0.0
51872092,-3.99804786777036E-8,0.0
51872100,-0.013707774034034684,0.0
797897590,0.0,0.0
51872116,0.01827636708559059,0.0
51872117,-0.02741418549847206,0.0
51888868,0.0,0.0
51872166,0.0,0.0
51872238,0.0,0.0
51873076,0.01827630490232976,0.0
51873075,-0.027415271433253327,0.0
811152825,0.0,0.0
811152826,0.0,0.0
726159767,0.0,0.0
572245502,0.0,0.059666666666666666
572245501,0.007832990119555187,0.0672
762732453,0.0,-0.2235
51882114,0.0,0.035500000000000004
781638037,0.0039164448519154165,0.0
586504553,0.0,0.0
586525543,0.0,-0.172
51867718,0.0,0.0
572245503,0.0,0.035
51872114,0.0,0.0
51882085,0.0,0.0
586485420,0.0,0.63025
51881856,0.0,0.0
51872537,0.0,0.0
51865673,0.0,0.0
783407352,0.0,0.0
51881765,0.0,0.0
83573219,0.0,-0.7125
749128116,0.0,0.0
51887677,0.0,0.0
51881771,0.0,0.0
51867741,0.0,0.0
